deviceId,UsageKWh,Voltage,Current,Latitude,Longitude,IngestedAt,Date,Time,DayNight,Hour,DayOfWeek,IsWeekend,Month,Usage_lag1,Usage_lag24,Usage_roll3,Usage_roll24
cva9x4nbf,58.71,57.72,30.13,45.1211,-90.0297,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,,,,
cva9x4nbf,52.75,56.8,20.48,34.0699,-72.8676,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,58.714177264405535,,,
cva9x4nbf,71.89,78.63,25.44,45.4631,-107.0358,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,52.74925751977493,,,
cva9x4nbf,74.19,65.25,42.15,34.8684,-106.8802,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,71.89249601871967,,61.11864360096671,
cva9x4nbf,42.57,56.7,61.26,41.9663,-102.4714,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,74.18712448416196,,66.27629267421885,
cva9x4nbf,61.42,31.29,72.47,44.496,-96.756,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,42.57441940451966,,62.884679969133764,
cva9x4nbf,18.08,20.06,70.67,44.9906,-79.4011,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,61.41801142640654,,59.39318510502938,
cva9x4nbf,25.73,49.13,58.76,32.7395,-74.4705,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,18.07900620837052,,40.6904790130989,
cva9x4nbf,32.12,26.12,45.6,48.8586,-83.9203,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,25.733697778495195,,35.076905137757414,
cva9x4nbf,30.91,77.41,40.25,36.5084,-109.1877,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,32.1187064371161,,25.310470141327272,
cva9x4nbf,63.77,74.5,46.48,45.4414,-93.2274,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,30.911887581167868,,29.588097265593053,
cva9x4nbf,66.88,60.15,60.34,35.6152,-116.1189,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,63.77194182155501,,42.26751194661299,
cva9x4nbf,88.63,64.3,72.32,40.5563,-105.7711,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,66.88156959213718,,53.855132998286685,
cva9x4nbf,68.86,23.02,73.59,42.2003,-82.2109,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,88.63137300341619,,73.09496147236946,
cva9x4nbf,74.29,43.34,61.62,41.7451,-75.7164,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,68.86210092034679,,74.79168117196673,
cva9x4nbf,45.27,11.87,41.57,41.5221,-104.405,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,74.29110579396726,,77.26152657257676,
cva9x4nbf,21.61,56.26,24.08,34.5922,-101.5097,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,45.2691194884917,,62.807442067601926,
cva9x4nbf,36.88,70.02,18.95,43.4843,-79.019,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,21.60952671006472,,47.05658399750789,
cva9x4nbf,4.36,53.61,29.27,38.8342,-103.5341,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,36.88250170089758,,34.587049299818,
cva9x4nbf,43.25,91.99,49.41,43.7474,-72.5921,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,4.359653800024678,,20.95056073699566,
cva9x4nbf,48.36,39.77,68.01,40.2999,-109.6641,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,43.25214727635512,,28.16476759242579,
cva9x4nbf,58.59,44.55,74.42,47.5192,-92.2534,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,48.363957952553314,,31.99191967631104,
cva9x4nbf,80.82,22.15,64.87,42.5536,-101.2814,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,58.59062176626607,,50.0689089983915,
cva9x4nbf,65.81,30.52,44.52,48.428,-114.9174,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,80.81872280934604,,62.59110084272181,
cva9x4nbf,68.67,52.42,24.76,46.5048,-115.6771,2025-08-16 18:12:41.365869+00:00,16 August 2025,06:12 PM,Night,18,5,1,8,65.80904462893086,58.714177264405535,68.40612973484765,51.490507141145436
